name,accuracy,balanced_accuracy,precision,recall,f1_macro,f1_weighted,mcc
XGBoost,0.75064,0.75064,0.7809,0.75064,0.74736,0.74736,0.74817
RandomForest,0.49922,0.49922,0.57451,0.49922,0.45134,0.45134,0.49548
ExtraTrees,0.48704,0.48704,0.5227,0.48704,0.44646,0.44646,0.48277
LGBM_GBM,0.34938,0.34938,0.25793,0.34938,0.2848,0.2848,0.34374
